dwc:recordNumber,dwc:genus,species,dwc:scientificName,Day,Month,Year,Day.of.the.Year
3332,adiantum,adiantum incisum,adiantum incisum hook.,30,1,1933,30
3210,tricliceras,tricliceras longipedunculatum,tricliceras longipedunculatum (mast.) r.fern.,3,4,1984,94
818,aeschynomene,aeschynomene pygmaea,aeschynomene pygmaea welw. ex baker var. hebecarpa j. leonard,9,7,1964,191
976,pavetta,pavetta gardeniifolia,pavetta gardeniifolia hochst. ex a.rich. var. gardeniifolia,23,2,1997,54
11623,psydrax,psydrax livida,psydrax livida (hiern) bridson,21,12,1997,355
s.n.,sesbania,sesbania coerulescens,sesbania coerulescens harms,25,3,1973,84
1326,ocimum,ocimum amicorum,ocimum amicorum a.j.paton,29,10,1992,303
13072,ethulia,ethulia conyzoides,ethulia conyzoides l.f.,28,5,2006,148
10198,actiniopteris,actiniopteris radiata,actiniopteris radiata,31,8,1983,243
723,clitoria,clitoria kaessneri,clitoria kaessneri harms,31,12,1994,365
2985,adenodolichos,adenodolichos punctatus,adenodolichos punctatus (micheli) harms subsp. punctatus verdc.,18,7,1961,199
1702,parinari,parinari capensis,parinari capensis harv.,13,6,1998,164
3794,adenodolichos,adenodolichos huillensis,adenodolichos huillensis torre var. huillensis,1,9,1960,245
10092,aeschynomene,aeschynomene pygmaea,aeschynomene pygmaea welw. ex baker var. hebecarpa j. leonard,28,5,1967,148
1884,macrotyloma,macrotyloma densiflorum,macrotyloma densiflorum (welw. ex baker) verdc. var. densiflorum verdc.,9,5,1967,129
6088,maranthes,maranthes floribunda,maranthes floribunda (bak.) f.white,,,,
2738,psychotria,psychotria kirkii,psychotria kirkii hiern var. volkensii (k.schum.) verdc.,5,6,1975,156
290,feretia,feretia aeruginescens,feretia aeruginescens stapf.,25,5,1994,145
46,euphorbia,euphorbia nyikae,euphorbia nyikae pax ex engl. var. nyikae,18,10,1974,291
3751,ocimum,ocimum amicorum,ocimum amicorum a.j.paton,19,11,1994,323
12564,hypoestes,hypoestes forskaolii,hypoestes forskaolii (vahl) r.br,31,8,2002,243
4931,psorospermum,psorospermum febrifugum,psorospermum febrifugum spach,30,11,2006,334
12563,justicia,justicia linearispica,justicia linearispica c.b.clarke,31,8,2002,243
8648,adenodolichos,adenodolichos huillensis,adenodolichos huillensis torre var. huillensis,24,5,1964,145
c88,adenodolichos,adenodolichos huillensis,adenodolichos huillensis torre var. huillensis,15,8,1973,227
11986,aeschynomene,aeschynomene schliebenii,aeschynomene schliebenii harms var. mossambicensis (baker f.) verdc.,24,5,1973,144
1776,julbernardia,julbernardia globiflora,julbernardia globiflora (benth.) troupin,20,6,1998,171
769,fadogia,fadogia triphylla,fadogia triphylla baker var. gracilifolia verdc.,14,3,1975,73
55,acalypha,acalypha brachiata,acalypha villicaulis,29,1,1957,29
4245,dracaena,dracaena fragrans,dracaena fragrans (l.) ker gawl.,23,8,2005,235
2808,barleria,barleria mpandensis,barleria mpandensis i.darbysh. subsp. tomentella i.darbysh.,14,7,1960,196
11183,vitex,vitex mombassae,vitex mombassae vatke,12,3,2009,71
,uapaca,uapaca sansibarica,uapaca sansibarica pax,15,11,2005,319
,tridactyle,tridactyle bicaudata,tridactyle bicaudata,27,3,1985,86
,phaulopsis,phaulopsis imbricata,phaulopsis imbricata subsp. imbricata,25,3,1985,84
,aeollanthus,aeollanthus subacaulis,aeollanthus subacaulis var. subacaulis,15,3,1985,74
,kalanchoe,kalanchoe lateritia,kalanchoe lateritia,13,2,1993,44
,polygala,polygala,polygala,13,3,1985,72
,justicia,justicia odora,justicia odora,9,4,1985,99
,phyllanthus,phyllanthus nummulariifolius,phyllanthus nummulariifolius,24,5,1987,144
,clerodendrum,clerodendrum ternatum,clerodendrum ternatum,26,3,1989,85
,chlorophytum,chlorophytum vestitum,chlorophytum vestitum,9,1,1973,9
